base__hugo	base__num_variants	base__so	base__all_so	base__note	pubmed__n	pubmed__term	uniprot__acc
SRSF6	8	INT	INT(2),UT3(1),2KU(2),2KD(3)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=SRSF6[TIAB] AND cancer[MH]	Q13247[WEB:]https://www.uniprot.org/uniprot/Q13247
SRXN1	29	FSD	FSD(1),INI(1),MIS(3),SYN(2),INT(8),UT3(6),2KU(4),2KD(4)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=SRXN1[TIAB] AND cancer[MH]	Q9BYN0[WEB:]https://www.uniprot.org/uniprot/Q9BYN0
SS18L1	173	FSD	FSD(2),MIS(1),SYN(4),UNK(1),INT(146),UT3(5),2KU(11),2KD(3)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=SS18L1[TIAB] AND cancer[MH]	O75177[WEB:]https://www.uniprot.org/uniprot/O75177
SSTR4	5	UT3	UT3(1),2KU(3),2KD(1)		52	http://www.ncbi.nlm.nih.gov/pubmed?term=SSTR4[TIAB] AND cancer[MH]	P31391[WEB:]https://www.uniprot.org/uniprot/P31391
STAU1	105	MIS	MIS(3),SYN(3),INT(93),UT3(2),2KD(4)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=STAU1[TIAB] AND cancer[MH]	O95793[WEB:]https://www.uniprot.org/uniprot/O95793
STK35	86	FSI	FSI(1),MIS(2),INT(65),UT3(11),2KU(1),2KD(6)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=STK35[TIAB] AND cancer[TIAB]	Q8TDR2[WEB:]https://www.uniprot.org/uniprot/Q8TDR2
STK4	144	MIS	MIS(1),INT(120),UT5(1),UT3(14),2KU(2),2KD(6)		7	http://www.ncbi.nlm.nih.gov/pubmed?term=STK4[TIAB] AND cancer[MH]	Q13043[WEB:]https://www.uniprot.org/uniprot/Q13043
STX16	114	SYN	SYN(1),INT(90),UT3(15),2KU(4),2KD(4)				O14662[WEB:]https://www.uniprot.org/uniprot/O14662
SULF2	169	SYN	SYN(1),INT(160),UT5(1),UT3(1),2KU(2),2KD(4)		24	http://www.ncbi.nlm.nih.gov/pubmed?term=SULF2[TIAB] AND cancer[MH]	Q8IWU5[WEB:]https://www.uniprot.org/uniprot/Q8IWU5
SUN5	37	MIS	MIS(2),SYN(1),INT(30),2KU(4)				Q8TC36[WEB:]https://www.uniprot.org/uniprot/Q8TC36
SYCP2	272	FSI	FSI(2),FSD(1),STG(2),MIS(8),SYN(9),INT(236),UT3(2),2KU(4),2KD(8)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=SYCP2[TIAB] AND cancer[MH]	Q9BX26[WEB:]https://www.uniprot.org/uniprot/Q9BX26
SYNDIG1	200	SYN	SYN(1),INT(196),2KU(3)				Q9H7V2[WEB:]https://www.uniprot.org/uniprot/Q9H7V2
SYS1	64	SPL	SPL(1),SYN(1),INT(43),UT3(13),2KU(2),2KD(4)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SYS1[TIAB] AND cancer[MH]	Q8N2H4[WEB:]https://www.uniprot.org/uniprot/Q8N2H4
TAF4	234	MIS	MIS(4),SYN(3),INT(216),UT3(2),2KU(6),2KD(3)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=TAF4[TIAB] AND cancer[MH]	O00268[WEB:]https://www.uniprot.org/uniprot/O00268
TASP1	285	MIS	MIS(3),INT(276),UT5(1),UT3(1),2KU(3),2KD(1)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=TASP1[TIAB] AND cancer[MH]	Q9H6P5[WEB:]https://www.uniprot.org/uniprot/Q9H6P5
TBC1D20	83	SYN	SYN(1),INT(61),UT3(4),2KU(2),2KD(15)				Q96BZ9[WEB:]https://www.uniprot.org/uniprot/Q96BZ9
TCF15	25	MIS	MIS(1),SYN(1),INT(14),UT5(1),UT3(1),2KU(6),2KD(1)				Q12870[WEB:]https://www.uniprot.org/uniprot/Q12870
TCFL5	38	MIS	MIS(2),INT(26),UT3(2),2KU(3),2KD(5)		6	http://www.ncbi.nlm.nih.gov/pubmed?term=TCFL5[TIAB] AND cancer[MH]	Q9UL49[WEB:]https://www.uniprot.org/uniprot/Q9UL49
TFAP2C	36	FSI	FSI(2),MIS(3),SYN(1),INT(16),UT3(1),2KU(10),2KD(3)		347	http://www.ncbi.nlm.nih.gov/pubmed?term=TFAP2C[MH] AND cancer[MH]	Q92754[WEB:]https://www.uniprot.org/uniprot/Q92754
TGIF2	46	INT	INT(34),UT3(4),2KU(4),2KD(4)		6	http://www.ncbi.nlm.nih.gov/pubmed?term=TGIF2[TIAB] AND cancer[MH]	Q9GZN2[WEB:]https://www.uniprot.org/uniprot/Q9GZN2
TGIF2-C20orf24	62	INT	INT(60),2KU(1),2KD(1)				
TGM2	70	STG	STG(1),MIS(2),SYN(2),INT(57),UT3(5),2KU(2),2KD(1)		25	http://www.ncbi.nlm.nih.gov/pubmed?term=TGM2[TIAB] AND cancer[MH]	P21980[WEB:]https://www.uniprot.org/uniprot/P21980
TGM3	153	MIS	MIS(3),SYN(1),INT(119),UT3(8),2KU(1),2KD(21)		12	http://www.ncbi.nlm.nih.gov/pubmed?term=TGM3[TIAB] AND cancer[MH]	Q08188[WEB:]https://www.uniprot.org/uniprot/Q08188
TGM6	70	SYN	SYN(2),INT(59),UT3(1),2KU(3),2KD(5)				O95932[WEB:]https://www.uniprot.org/uniprot/O95932
THBD	14	MIS	MIS(2),UT5(1),UT3(2),2KU(7),2KD(2)		14	http://www.ncbi.nlm.nih.gov/pubmed?term=THBD[TIAB] AND cancer[MH]	P07204[WEB:]https://www.uniprot.org/uniprot/P07204
TLDC2	48	SPL	SPL(1),SYN(1),INT(39),UT5(1),UT3(1),2KU(3),2KD(2)				A0PJX2[WEB:]https://www.uniprot.org/uniprot/A0PJX2
TM9SF4	56	STG	STG(1),MIS(1),SYN(1),INT(48),UT5(1),UT3(1),2KU(1),2KD(2)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=TM9SF4[TIAB] AND cancer[MH]	Q92544[WEB:]https://www.uniprot.org/uniprot/Q92544
TMC2	385	FSI	FSI(1),MIS(5),SYN(4),INT(371),2KU(1),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=TMC2[TIAB] AND cancer[MH]	Q8TDI7[WEB:]https://www.uniprot.org/uniprot/Q8TDI7
TMEM189	77	INT	INT(60),UT3(13),2KU(3),2KD(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=TMEM189[TIAB] AND cancer[MH]	A5PLL7[WEB:]https://www.uniprot.org/uniprot/A5PLL7
TMEM189-UBE2V1	163	MIS	MIS(1),INT(150),UT3(6),2KU(3),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=TMEM189-UBE2V1[TIAB] AND cancer[MH]	
TMEM230	77	SYN	SYN(1),INT(65),2KU(2),2KD(9)				Q96A57[WEB:]https://www.uniprot.org/uniprot/Q96A57
TMEM239	7	UT3	UT3(2),2KU(4),2KD(1)				Q8WW34[WEB:]https://www.uniprot.org/uniprot/Q8WW34
TMEM74B	4	INT	INT(1),UT5(1),2KD(2)				Q9NUR3[WEB:]https://www.uniprot.org/uniprot/Q9NUR3
TMX4	104	SYN	SYN(2),INT(90),UT3(6),2KU(4),2KD(2)				Q9H1E5[WEB:]https://www.uniprot.org/uniprot/Q9H1E5
TNNC2	32	MIS	MIS(1),INT(21),2KU(7),2KD(3)				P02585[WEB:]https://www.uniprot.org/uniprot/P02585
TOMM34	38	INT	INT(26),2KU(7),2KD(5)		8	http://www.ncbi.nlm.nih.gov/pubmed?term=TOMM34[TIAB] AND cancer[MH]	Q15785[WEB:]https://www.uniprot.org/uniprot/Q15785
TOP1	152	INT	INT(147),UT3(3),2KU(1),2KD(1)		115	http://www.ncbi.nlm.nih.gov/pubmed?term=TOP1[TIAB] AND cancer[MH]	P11387[WEB:]https://www.uniprot.org/uniprot/P11387
TOX2	323	MIS	MIS(1),SYN(3),INT(310),UT3(1),2KU(6),2KD(2)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=TOX2[TIAB] AND cancer[MH]	Q96NM4[WEB:]https://www.uniprot.org/uniprot/Q96NM4
TP53INP2	15	INT	INT(5),UT3(5),2KU(3),2KD(2)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=TP53INP2[TIAB] AND cancer[MH]	Q8IXH6[WEB:]https://www.uniprot.org/uniprot/Q8IXH6
TP53RK	9	FSI	FSI(1),INT(4),UT3(3),2KD(1)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=TP53RK[TIAB] AND cancer[MH]	Q96S44[WEB:]https://www.uniprot.org/uniprot/Q96S44
TP53TG5	35	INT	INT(16),UT3(9),2KU(7),2KD(3)				Q9Y2B4[WEB:]https://www.uniprot.org/uniprot/Q9Y2B4
TPX2	164	FSD	FSD(1),STG(1),MIS(5),SYN(2),INT(145),UT5(2),2KU(2),2KD(6)		49	http://www.ncbi.nlm.nih.gov/pubmed?term=TPX2[TIAB] AND cancer[MH]	Q9ULW0[WEB:]https://www.uniprot.org/uniprot/Q9ULW0
TRIB3	72	SPL	SPL(1),MIS(1),INT(53),UT5(2),UT3(1),2KU(10),2KD(4)		18	http://www.ncbi.nlm.nih.gov/pubmed?term=TRIB3[TIAB] AND cancer[MH]	Q96RU7[WEB:]https://www.uniprot.org/uniprot/Q96RU7
TRMT6	20	FSI	FSI(1),SPL(1),MIS(3),INT(10),UT3(2),2KU(1),2KD(2)				Q9UJA5[WEB:]https://www.uniprot.org/uniprot/Q9UJA5
TRPC4AP	125	SPL	SPL(1),MIS(1),INT(119),UT3(1),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=TRPC4AP[TIAB] AND cancer[MH]	Q8TEL6[WEB:]https://www.uniprot.org/uniprot/Q8TEL6
TSHZ2	1346	FSI	FSI(2),FSD(1),MIS(8),SYN(4),INT(1294),UT5(1),UT3(29),2KU(1),2KD(6)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=TSHZ2[TIAB] AND cancer[MH]	Q9NRE2[WEB:]https://www.uniprot.org/uniprot/Q9NRE2
TTI1	100	MIS	MIS(4),SYN(4),INT(85),2KU(5),2KD(2)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=TTI1[TIAB] AND cancer[MH]	O43156[WEB:]https://www.uniprot.org/uniprot/O43156
TTLL9	150	FSD	FSD(3),MIS(3),SYN(2),INT(130),2KU(4),2KD(8)				Q3SXZ7[WEB:]https://www.uniprot.org/uniprot/Q3SXZ7
TTPAL	31	INT	INT(18),UT3(5),2KU(8)				Q9BTX7[WEB:]https://www.uniprot.org/uniprot/Q9BTX7
TUBB1	16	MIS	MIS(1),SYN(1),INT(6),UT5(1),UT3(1),2KD(6)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=TUBB1[TIAB] AND cancer[MH]	Q9H4B7[WEB:]https://www.uniprot.org/uniprot/Q9H4B7
UBE2C	47	SPL	SPL(1),MIS(2),INT(23),2KU(12),2KD(9)		46	http://www.ncbi.nlm.nih.gov/pubmed?term=UBE2C[TIAB] AND cancer[MH]	O00762[WEB:]https://www.uniprot.org/uniprot/O00762
UBE2V1	87	MIS	MIS(1),INT(74),UT5(1),UT3(6),2KU(2),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=UBE2V1[TIAB] AND cancer[MH]	Q13404[WEB:]https://www.uniprot.org/uniprot/Q13404
UBOX5	76	SPL	SPL(1),SYN(1),INT(65),UT3(3),2KU(4),2KD(2)				O94941[WEB:]https://www.uniprot.org/uniprot/O94941
UQCC1	45	INT	INT(44),2KU(1)				Q9NVA1[WEB:]https://www.uniprot.org/uniprot/Q9NVA1
VAPB	99	MIS	MIS(1),INT(81),UT5(2),UT3(9),2KU(4),2KD(2)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=VAPB[TIAB] AND cancer[MH]	O95292[WEB:]https://www.uniprot.org/uniprot/O95292
VPS16	25	FSD	FSD(1),MIS(2),SYN(3),INT(18),2KD(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=VPS16[TIAB] AND cancer[MH]	Q9H269[WEB:]https://www.uniprot.org/uniprot/Q9H269
VSTM2L	79	MIS	MIS(1),INT(71),UT3(1),2KU(4),2KD(2)				Q96N03[WEB:]https://www.uniprot.org/uniprot/Q96N03
VSX1	31	MIS	MIS(1),INT(14),UT5(2),UT3(4),2KU(7),2KD(3)				Q9NZR4[WEB:]https://www.uniprot.org/uniprot/Q9NZR4
WFDC10A	10	INT	INT(2),2KU(3),2KD(5)				Q9H1F0[WEB:]https://www.uniprot.org/uniprot/Q9H1F0
WFDC10B	16	INT	INT(11),2KU(5)				Q8IUB3[WEB:]https://www.uniprot.org/uniprot/Q8IUB3
WFDC11	61	INT	INT(58),UT3(1),2KD(2)				Q8NEX6[WEB:]https://www.uniprot.org/uniprot/Q8NEX6
WFDC12	8	FSD	FSD(1),2KU(3),2KD(4)				Q8WWY7[WEB:]https://www.uniprot.org/uniprot/Q8WWY7
WFDC13	11	MIS	MIS(1),SYN(1),INT(8),2KU(1)				Q8IUB5[WEB:]https://www.uniprot.org/uniprot/Q8IUB5
WFDC2	30	INT	INT(16),2KU(5),2KD(9)		15	http://www.ncbi.nlm.nih.gov/pubmed?term=WFDC2[TIAB] AND cancer[MH]	Q14508[WEB:]https://www.uniprot.org/uniprot/Q14508
WFDC3	30	SYN	SYN(1),INT(22),2KU(6),2KD(1)				Q8IUB2[WEB:]https://www.uniprot.org/uniprot/Q8IUB2
WFDC5	28	MIS	MIS(1),INT(13),2KU(13),2KD(1)				Q8TCV5[WEB:]https://www.uniprot.org/uniprot/Q8TCV5
WFDC6	14	INT	INT(9),2KU(3),2KD(2)				Q9BQY6[WEB:]https://www.uniprot.org/uniprot/Q9BQY6
WFDC8	74	MIS	MIS(2),INT(61),UT3(1),2KU(9),2KD(1)				Q8IUA0[WEB:]https://www.uniprot.org/uniprot/Q8IUA0
WFDC9	49	INT	INT(42),2KU(5),2KD(2)				Q8NEX5[WEB:]https://www.uniprot.org/uniprot/Q8NEX5
WISP2	38	MIS	MIS(2),SYN(1),INT(27),2KD(8)		14	http://www.ncbi.nlm.nih.gov/pubmed?term=WISP2[TIAB] AND cancer[MH]	
XKR7	36	INT	INT(24),UT3(10),2KD(2)				Q5GH72[WEB:]https://www.uniprot.org/uniprot/Q5GH72
XRN2	92	MIS	MIS(1),SYN(1),INT(86),2KU(3),2KD(1)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=XRN2[TIAB] AND cancer[MH]	Q9H0D6[WEB:]https://www.uniprot.org/uniprot/Q9H0D6
YWHAB	34	INT	INT(19),UT5(1),UT3(5),2KU(4),2KD(5)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=YWHAB[TIAB] AND cancer[MH]	P31946[WEB:]https://www.uniprot.org/uniprot/P31946
ZBP1	33	INT	INT(22),UT5(1),UT3(1),2KU(3),2KD(6)		9	http://www.ncbi.nlm.nih.gov/pubmed?term=ZBP1[TIAB] AND cancer[MH]	Q9H171[WEB:]https://www.uniprot.org/uniprot/Q9H171
ZCCHC3	22	MIS	MIS(1),UT5(1),UT3(3),2KU(6),2KD(11)				Q9NUD5[WEB:]https://www.uniprot.org/uniprot/Q9NUD5
ZFP64	312	MIS	MIS(1),SYN(6),INT(298),UT5(2),2KU(4),2KD(1)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=ZFP64[TIAB] AND cancer[MH]	Q9NPA5;Q9NTW7[WEB:]https://www.uniprot.org/uniprot/Q9NPA5;Q9NTW7
ZHX3	295	STG	STG(1),MIS(5),SYN(3),INT(268),UT3(14),2KU(2),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=ZHX3[TIAB] AND cancer[TIAB]	Q9H4I2[WEB:]https://www.uniprot.org/uniprot/Q9H4I2
ZMYND8	214	FSI	FSI(1),INT(211),2KD(2)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=ZMYND8[TIAB] AND cancer[MH]	Q9ULU4[WEB:]https://www.uniprot.org/uniprot/Q9ULU4
ZNF133	67	STG	STG(1),MIS(3),INT(53),2KU(6),2KD(4)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=ZNF133[TIAB] AND cancer[MH]	P52736[WEB:]https://www.uniprot.org/uniprot/P52736
ZNF217	83	STG	STG(1),MIS(6),SYN(8),INT(62),UT5(1),UT3(2),2KU(1),2KD(2)		77	http://www.ncbi.nlm.nih.gov/pubmed?term=ZNF217[TIAB] AND cancer[MH]	O75362[WEB:]https://www.uniprot.org/uniprot/O75362
ZNF334	23	MIS	MIS(3),SYN(3),INT(11),UT3(2),2KU(3),2KD(1)				Q9HCZ1[WEB:]https://www.uniprot.org/uniprot/Q9HCZ1
ZNF335	23	MIS	MIS(1),INT(18),2KU(2),2KD(2)				Q9H4Z2[WEB:]https://www.uniprot.org/uniprot/Q9H4Z2
ZNF337	65	FSD	FSD(1),MIS(2),SYN(2),INT(52),UT3(1),2KU(2),2KD(5)				Q9Y3M9[WEB:]https://www.uniprot.org/uniprot/Q9Y3M9
ZNF341	110	MIS	MIS(1),SYN(1),INT(98),UT3(1),2KU(2),2KD(7)				Q9BYN7[WEB:]https://www.uniprot.org/uniprot/Q9BYN7
ZNF343	83	FSD	FSD(1),MIS(1),INT(71),UT5(2),2KU(5),2KD(3)				Q6P1L6[WEB:]https://www.uniprot.org/uniprot/Q6P1L6
ZNF831	41	INT	INT(30),UT3(9),2KU(1),2KD(1)				Q5JPB2[WEB:]https://www.uniprot.org/uniprot/Q5JPB2
ZNFX1	105	FSI	FSI(1),STG(1),MIS(9),SYN(2),INT(83),UT3(4),2KU(1),2KD(4)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=ZNFX1[TIAB] AND cancer[MH]	Q9P2E3[WEB:]https://www.uniprot.org/uniprot/Q9P2E3
ZSWIM1	20	FSD	FSD(1),MIS(2),INT(4),UT3(3),2KU(7),2KD(3)				Q9BR11[WEB:]https://www.uniprot.org/uniprot/Q9BR11
ZSWIM3	43	STG	STG(1),INI(1),MIS(3),SYN(3),INT(20),UT5(1),2KU(7),2KD(7)				Q96MP5[WEB:]https://www.uniprot.org/uniprot/Q96MP5
